"Species","Length_cm","Speed_cms","Mode"
"Ctenochaetus striatus",14.7764303575922,30.9417156211975,"Swimming"
"Ctenochaetus striatus",15.6255731670547,22.1345680909147,"Swimming"
"Chaetodon ornatissimus",11.2352159967324,48.5276527320153,"Swimming"
"Chaetodon pelewensis",7.19424711392232,34.7423907096914,"Swimming"
"Ctenochaetus striatus",15.3537483099897,18.0891195652884,"Swimming"
"Cephalopholis argus",22.5494138558002,26.2884760488286,"Swimming"
"Zebrasoma scopas",10.2255340717276,29.0900136799227,"Swimming"
"Chromis iomelas",4.34854643197026,12.2925870504185,"Swimming"
"Chaetodon ornatissimus",11.7464298329679,50.5187205768582,"Swimming"
"Odonus niger",18.0059979398058,31.3080399255767,"Swimming"
"Zebrasoma scopas",10.3665090085647,22.6959257363011,"Swimming"
"Zebrasoma scopas",15.1299138987401,32.8837966750666,"Swimming"
"Ctenochaetus striatus",19.1077906647267,42.2640084367297,"Swimming"
"Chaetodon ornatissimus",11.5641243700427,37.6876873265038,"Swimming"
"Cephalopholis argus",22.6238950936274,33.6637189173736,"Swimming"
"Odonus niger",14.9084267811649,30.6351446305346,"Swimming"
"Chromis iomelas",3.45259060184787,16.152897748673,"Swimming"
"Ctenochaetus striatus",14.7282757382055,41.5763089161104,"Swimming"
"Chromis iomelas",3.5366863513008,6.50194466458591,"Swimming"
"Chromis iomelas",3.89936863563454,6.70138148952972,"Swimming"
"Chaetodon pelewensis",7.17753907196065,17.4383951918336,"Swimming"
